Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),activity,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.578778024,-0.2013348341,-0.1031974182,-0.07350318879,0.2378826208,rotation,,,,
0.581328024,-0.264185369,-0.1223721579,-0.09374319762,0.3058703015,rotation,,,,
0.583878024,-0.3121222556,-0.1010668874,-0.1086568907,0.3456025724,rotation,,,,
0.586428024,-0.329166472,-0.05313002318,-0.1193095297,0.3541301025,rotation,,,,
0.588978024,-0.3249054253,0.00319579104,-0.1257011145,0.3483884594,rotation,,,,
0.591528024,-0.2993390858,0.05965476483,-0.1278316379,0.330913141,rotation,,,,
0.594029742,-0.2567285299,0.1086568907,-0.1278316379,0.3066867875,rotation,,,,
0.596628024,-0.2034653574,0.1459411234,-0.1235705838,0.2792250926,rotation,,,,
0.599080524,-0.1512674391,0.157659024,-0.1129179448,0.2459444414,rotation,,,,
0.601533024,-0.1065263674,0.157659024,-0.1012000442,0.2155126069,rotation,,,,
0.603985524,-0.05858949944,0.1555284858,-0.08096003532,0.1848685118,rotation,,,,
0.606438024,-0.01704421826,0.1587242782,-0.06498108059,0.1723555706,rotation,,,,
0.608899169,0.01597895473,0.164050594,-0.04913528636,0.1719947695,rotation,,,,
0.611395784,0.04474107176,0.1747032404,-0.03422159329,0.1835595357,rotation,,,,
0.613892451,0.06604634225,0.1917474568,-0.02676474862,0.2045618691,rotation,,,,
0.616389065,0.08096003532,0.2183790505,-0.02356895804,0.2340927867,rotation,,,,
0.618841565,0.09480846673,0.2514022291,-0.02143843099,0.2695391112,rotation,,,,
0.621294065,0.1097221524,0.2865559161,-0.02143843099,0.3075920189,rotation,,,,
0.623745732,0.1245026886,0.3217096329,-0.02463422157,0.3458393445,rotation,,,,
0.626239222,0.1394163817,0.3579285741,-0.03102580272,0.3853730557,rotation,,,,
0.628732659,0.1564605981,0.3888212144,-0.04061317816,0.4210834665,rotation,,,,
0.631226149,0.1745700836,0.4133222997,-0.05326318368,0.4518262988,rotation,,,,
0.633719638,0.1937448233,0.435692817,-0.06178529188,0.4808146313,rotation,,,,
0.636213076,0.2129195631,0.4527370334,-0.0745684579,0.5058320044,rotation,,,,
0.638703076,0.2267680019,0.4687159956,-0.0873516202,0.5279665868,rotation,,,,
0.641118076,0.2384859025,0.4793686271,-0.1022653133,0.5450944878,rotation,,,,
0.643570576,0.248073265,0.4909533858,-0.1139832065,0.5617541662,rotation,,,,
0.646060576,0.2544648647,0.5016059875,-0.1257011145,0.5763347155,rotation,,,,
0.648523336,0.2608564198,0.5101281404,-0.1384842694,0.5894528686,rotation,,,,
0.651013388,0.2651174963,0.5133239031,-0.15020217,0.5969500885,rotation,,,,
0.653503388,0.2651174963,0.5111933947,-0.1587242782,0.5973268536,rotation,,,,
0.655993388,0.262986958,0.5048018098,-0.1661811322,0.5929613613,rotation,,,,
0.65848344,0.2587259114,0.4930838943,-0.1757684946,0.5839224158,rotation,,,,
0.66103344,0.2523343265,0.4751075804,-0.1800295562,0.5672834092,rotation,,,,
0.66358344,0.2427469492,0.4527370334,-0.1885516644,0.547218999,rotation,,,,
0.66613344,0.2288985252,0.421844393,-0.1970737725,0.5188307032,rotation,,,,
0.668628024,0.2075932473,0.3813643754,-0.1970737725,0.4768352073,rotation,,,,
0.671143024,0.1884185076,0.3430148959,-0.1992042959,0.4391390489,rotation,,,,
0.673637607,0.1617869139,0.3057306707,-0.2034653574,0.4013033767,rotation,,,,
0.67613219,0.134090066,0.264185369,-0.1992042959,0.3570103731,rotation,,,,
0.678633284,0.1043958366,0.2247706354,-0.1928127259,0.3140017142,rotation,,,,
0.68123219,0.0745684579,0.1842906028,-0.1874863952,0.2732665907,rotation,,,,
0.68378219,0.05006739125,0.1416800618,-0.1778990328,0.2328691681,rotation,,,,
0.68633219,0.02769685537,0.1033305749,-0.1587242782,0.1914098221,rotation,,,,
0.688872919,0.006391582079,0.07669898123,-0.1459411234,0.1649921135,rotation,,,,
0.691374065,-0.01065263618,0.0479368642,-0.128896907,0.1379341663,rotation,,,,
0.693875159,-0.03408843651,0.0234357994,-0.1150484756,0.1222596006,rotation,,,,
0.696376253,-0.0479368642,0.00319579104,-0.1033305749,0.1139533402,rotation,,,,
0.698828753,-0.05965476483,-0.01065263618,-0.09480846673,0.112520287,rotation,,,,
0.701281253,-0.07350318879,-0.0234357994,-0.08841688186,0.1173435147,rotation,,,,
0.703733753,-0.0830905661,-0.03408843651,-0.07989477366,0.1202049855,rotation,,,,
0.706186253,-0.09267793596,-0.04580633715,-0.07243792713,0.1262326171,rotation,,,,
0.708638753,-0.1033305749,-0.05845634267,-0.06711161137,0.136375658,rotation,,,,
0.711091253,-0.1150484756,-0.07337003201,-0.05752423778,0.1480822449,rotation,,,,
0.713592347,-0.1331579536,-0.08721846342,-0.04913528636,0.1665904479,rotation,,,,
0.715996253,-0.1470063776,-0.1042626798,-0.04380896688,0.1854745455,rotation,,,,
0.718448753,-0.1672463864,-0.1159805804,-0.04274370521,0.2079660384,rotation,,,,
0.720901253,-0.1906821877,-0.1223721579,-0.04167843983,0.2303730324,rotation,,,,
0.723353753,-0.2119874656,-0.126633212,-0.04593949392,0.2511674602,rotation,,,,
0.725806253,-0.2269011587,-0.1287637353,-0.05113265663,0.2658548174,rotation,,,,
0.728258753,-0.2407495826,-0.126633212,-0.05752423778,0.2780384323,rotation,,,,
0.730751461,-0.2503369451,-0.1202416345,-0.06604634225,0.2854623549,rotation,,,,
0.733193909,-0.264185369,-0.1138500497,-0.07669898123,0.2977221469,rotation,,,,
0.735686617,-0.2684464455,-0.09893636405,-0.0830905661,0.2979193522,rotation,,,,
0.738236617,-0.2695116997,-0.08615319431,-0.08948214352,0.2967591332,rotation,,,,
0.740729326,-0.264185369,-0.08082687855,-0.08948214352,0.2904030776,rotation,,,,
0.743636409,-0.2567285299,-0.07656582445,-0.0830905661,0.2804922561,rotation,,,,
0.746129169,-0.2375537902,-0.07337003201,-0.07137266546,0.2586677835,rotation,,,,
