"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.272843280E-1,4.673347473E-1,-3.402307987E0,6.972910881E0,7.772746462E0
7.322576620E-1,-1.540572166E0,-3.688620329E0,9.408790588E0,1.022275026E1
7.372427660E-1,-2.665863514E0,-2.835643053E0,8.578342438E0,9.419960657E0
7.422278700E-1,-2.740938187E0,-2.254871130E0,4.086017132E0,5.412275118E0
7.472130260E-1,-2.391049385E0,-2.161712885E0,4.334836006E-1,3.252388014E0
7.522110990E-1,-2.536437035E0,-1.632563114E0,-8.630113602E-1,3.137445419E0
7.571968810E-1,-3.624802113E0,-6.330583096E-1,-8.397362232E-1,3.774269479E0
7.621826620E-1,-4.937240124E0,-3.281478882E-1,-3.930950165E-2,4.948289231E0
7.671684430E-1,-5.534075260E0,-9.423251152E-1,1.249957085E0,5.751204945E0
7.721395890E-1,-5.175031185E0,-1.614820957E0,1.191031933E0,5.550419043E0
7.771246410E-1,-4.527016163E0,-2.082055092E0,-2.662577629E-1,4.989962118E0
7.821097450E-1,-4.332156658E0,-2.469949007E0,-5.544762611E-1,5.017536580E0
7.870947970E-1,-5.517012119E0,-2.801092386E0,2.777822018E0,6.782317926E0
7.920865680E-1,-6.709389687E0,-2.289087296E0,7.298722744E0,1.017483092E1
7.970718810E-1,-5.469658852E0,-1.252085447E0,6.368268013E0,8.487621776E0
8.020572970E-1,-2.526734352E0,-2.154820442E0,2.102718115E0,3.930529366E0
8.070426620E-1,4.258861542E-1,-2.810589075E0,-1.631789684E0,3.277732073E0
8.120161510E-1,2.046270370E0,-1.378708363E0,-6.410193443E0,6.868670844E0
8.170009430E-1,2.592150688E0,1.250044346E0,-1.245638466E1,1.278449744E1
8.219857870E-1,1.483128548E0,3.548132658E0,-1.544722748E1,1.591872333E1
8.269705260E-1,3.027391434E-1,4.425791740E0,-1.426573181E1,1.493955781E1
8.319664120E-1,5.007762909E-1,3.677566290E0,-1.184202576E1,1.241003001E1
8.369517760E-1,1.364562988E0,1.677724838E0,-8.954450607E0,9.211893316E0
8.419370890E-1,2.320992470E0,-4.173364639E-1,-5.700027943E0,6.168589329E0
8.469225060E-1,2.125762939E0,-1.388571978E0,-2.627630472E0,3.653962522E0
8.518956310E-1,7.195758820E-1,-1.450922728E0,2.327764034E-1,1.636200191E0
8.568803700E-1,-1.525130272E0,-9.665150642E-1,3.012805223E0,3.512430644E0
8.618650580E-1,-3.482866287E0,-6.749818325E-1,5.119368553E0,6.228474326E0
8.668497970E-1,-4.513329506E0,-8.459131718E-1,6.047399521E0,7.593204415E0
8.718345370E-1,-4.892329693E0,-1.137241602E0,5.932025909E0,7.772846305E0
8.768192760E-1,-4.779079437E0,-1.580252409E0,6.025446892E0,7.851293409E0
8.818040160E-1,-4.306992054E0,-2.435289383E0,8.390497208E0,9.740701121E0
8.867887560E-1,-4.050088882E0,-2.498567820E0,1.045963287E1,1.149130023E1
8.917948490E-1,-4.472812653E0,-1.374973774E0,8.762663841E0,9.933825220E0
8.967806830E-1,-6.145601273E0,-1.652379036E-1,3.379100800E0,7.015271968E0
9.017664640E-1,-7.863583565E0,8.108319044E-1,-2.966989517E0,8.443720842E0
9.067522970E-1,-8.906486511E0,1.613449216E0,-9.128782272E0,1.285548078E1
9.117566720E-1,-1.013783741E1,2.880126238E0,-1.823641777E1,2.106271131E1
9.167433910E-1,-1.042059517E1,3.582364798E0,-2.097221375E1,2.369083980E1
9.217301100E-1,-8.745229721E0,3.348068237E0,-1.748762321E1,1.983697481E1
9.267168280E-1,-7.095797062E0,2.089305639E0,-1.115973759E1,1.338862491E1
9.316473490E-1,-5.984365463E0,1.064208984E0,-5.096479416E0,7.932166992E0
9.366312030E-1,-5.627355099E0,1.450812697E0,-1.781685472E0,6.078353890E0
9.416150060E-1,-4.671824932E0,9.185202122E-1,9.384073019E-1,4.852858523E0
9.465988600E-1,-4.444836140E0,6.178780794E-1,3.567946434E0,5.733112888E0
9.515932870E-1,-4.514126301E0,-2.621896267E-1,5.700864792E0,7.276396020E0
9.565776620E-1,-2.837191105E0,-2.311231375E0,1.998717499E1,2.031941455E1
9.615620370E-1,-4.128824711E0,-1.510143042E0,2.518707848E1,2.556788313E1
9.665463600E-1,-1.393428612E1,2.666606903E0,9.091482162E0,1.685022759E1
9.715302660E-1,-2.196948242E1,7.344033241E0,-1.261664677E1,2.637750477E1
9.765145890E-1,-2.005337143E1,9.083557129E0,-2.458703041E1,3.300258748E1
9.814989120E-1,-1.003730202E1,6.647009850E0,-2.312379074E1,2.606990353E1
9.864832350E-1,-2.326101780E0,3.641549587E0,-1.382430744E1,1.448389137E1
9.914751100E-1,-3.143968582E-1,3.037070513E0,-3.761839867E0,4.845005869E0
9.964598490E-1,-1.224864006E0,4.086216927E0,3.028874397E0,5.231781792E0
1.001444537E0,-2.445694447E0,5.168060303E0,5.018670559E0,7.607714690E0
1.006429224E0,-2.748010635E0,5.444560051E0,3.908244371E0,7.243560635E0
1.011407506E0,-1.464586735E0,4.756484509E0,1.682523847E0,5.253574562E0
1.016391881E0,1.367530823E0,3.054741144E0,2.513320446E-1,3.356300315E0
1.021376256E0,1.957269669E0,2.801265717E0,-1.463247061E0,3.717403143E0
1.026360631E0,1.069169044E0,3.725142956E0,-3.746546268E0,5.390400860E0
1.031350422E0,-2.189369202E-1,4.532441139E0,-5.975146294E0,7.502888063E0
1.036335110E0,-1.058540344E0,4.150303841E0,-7.075228691E0,8.270694690E0
1.041319745E0,-3.297605515E-1,3.093893766E0,-7.640703201E0,8.249925216E0
1.046304433E0,-3.025054932E-2,2.208897591E0,-7.300896645E0,7.627793618E0
1.051293547E0,-1.644468307E0,1.966298223E0,-6.570957661E0,7.053232542E0
1.056278391E0,-3.558317661E0,1.987958074E0,-6.187096119E0,7.409032343E0
1.061263287E0,-2.893138409E0,1.685550690E0,-5.253776550E0,6.230048075E0
1.066248183E0,2.333927155E-1,1.325757861E0,-3.915320396E0,4.140270507E0
1.071245839E0,1.775029182E0,1.185703278E0,-2.801234961E0,3.521865722E0
1.076231360E0,2.427896500E0,1.012596846E0,-2.966968060E0,3.965215410E0
1.081216881E0,3.644746780E0,8.160390854E-1,-3.331405640E0,5.004833905E0
1.086202401E0,3.432782173E0,1.163683891E0,-4.921018600E0,6.111839143E0
1.091181776E0,4.375306129E0,9.522247314E-1,-6.283780098E0,7.715952824E0
1.096166985E0,7.635066032E0,-3.591022253E0,-1.196159172E1,1.463794216E1
1.101152193E0,5.485605240E0,5.716221333E-1,-9.417475700E0,1.091363667E1
1.106137453E0,1.854640961E0,5.571320534E0,3.796099663E0,6.992115433E0
1.111105578E0,3.892420769E0,-4.185466766E-1,6.767216682E0,7.818013967E0
1.116089901E0,4.662464142E0,-3.798718452E0,3.643796444E0,7.031791115E0
1.121074276E0,3.436423302E0,-3.398664951E0,2.444234133E0,5.416106448E0
1.126058651E0,2.224515915E0,-2.078365803E0,-8.295055628E-1,3.155337533E0
1.131058078E0,2.469558716E-1,-1.400814056E0,-2.755069733E-1,1.448851723E0
1.136043235E0,4.748840332E-1,-2.113277912E0,2.029343605E0,2.968112843E0
1.141028339E0,-3.906731606E-1,-4.094594479E0,2.210571766E0,4.669577818E0
1.146013443E0,-5.011398315E0,-4.891726017E0,1.435035944E0,7.148595992E0
1.150998599E0,-5.587016582E0,-4.129300117E0,-2.261080980E0,7.306049613E0
1.155983756E0,-3.886025906E0,-4.195047855E0,-4.578474998E0,7.325439042E0
1.160968860E0,-1.360530853E0,-5.497487068E0,-3.525203228E0,6.670866965E0
1.165953964E0,4.273233414E-1,-5.937692642E0,-9.518342018E-1,6.028663824E0
