"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.291205240E-1,3.195790946E-2,3.195790946E-2,2.448774725E-1,2.490132376E-1
5.317298470E-1,5.113265663E-2,6.072002649E-2,2.299637944E-1,2.432792981E-1
5.342798470E-1,6.924213469E-2,8.309056610E-2,2.235722095E-1,2.483607220E-1
5.367323470E-1,8.948214352E-2,1.086568907E-1,2.150501013E-1,2.570212442E-1
5.392232320E-1,1.054610983E-1,1.331579536E-1,2.012016773E-1,2.633157778E-1
5.416373470E-1,1.181111038E-1,1.661811322E-1,1.905490309E-1,2.790615250E-1
5.440898470E-1,1.001347825E-1,2.471411675E-1,1.745700836E-1,3.187168735E-1
5.465423470E-1,5.113265663E-2,3.515369892E-1,1.436774284E-1,3.831918668E-1
5.489948470E-1,6.391582079E-3,3.909517527E-1,1.202416345E-1,4.090747803E-1
5.514857320E-1,-2.769685537E-2,3.888212144E-1,9.574057162E-2,4.013917160E-1
5.538998470E-1,-4.580633715E-2,3.824296594E-1,7.337003201E-2,3.920890543E-1
5.563523470E-1,-4.900212586E-2,3.579285741E-1,6.058686972E-2,3.663124913E-1
5.588048470E-1,-4.580633715E-2,3.121222556E-1,4.673844203E-2,3.189090856E-1
5.612957840E-1,-3.515370190E-2,2.577938139E-1,3.502054140E-2,2.625259446E-1
5.637142740E-1,-2.130527236E-2,2.034653574E-1,3.075948730E-2,2.068772882E-1
5.662052110E-1,-1.065263618E-2,1.565937549E-1,2.756369673E-2,1.593575857E-1
5.686962010E-1,-1.065263618E-2,1.097221524E-1,2.223737910E-2,1.124585719E-1
5.711870860E-1,-2.556632832E-2,6.285055727E-2,7.323687430E-3,6.824563056E-2
5.736780240E-1,-6.498108059E-2,4.261054564E-3,-1.611211337E-2,6.708425760E-2
5.761797420E-1,-1.288969070E-1,-5.526055023E-2,-4.274370521E-2,1.466122961E-1
5.787780240E-1,-2.013348341E-1,-1.031974182E-1,-7.350318879E-2,2.378826208E-1
5.813280240E-1,-2.641853690E-1,-1.223721579E-1,-9.374319762E-2,3.058703015E-1
5.838780240E-1,-3.121222556E-1,-1.010668874E-1,-1.086568907E-1,3.456025724E-1
5.864280240E-1,-3.291664720E-1,-5.313002318E-2,-1.193095297E-1,3.541301025E-1
5.889780240E-1,-3.249054253E-1,3.195791040E-3,-1.257011145E-1,3.483884594E-1
5.915280240E-1,-2.993390858E-1,5.965476483E-2,-1.278316379E-1,3.309131410E-1
5.940297420E-1,-2.567285299E-1,1.086568907E-1,-1.278316379E-1,3.066867875E-1
5.966280240E-1,-2.034653574E-1,1.459411234E-1,-1.235705838E-1,2.792250926E-1
5.990805240E-1,-1.512674391E-1,1.576590240E-1,-1.129179448E-1,2.459444414E-1
6.015330240E-1,-1.065263674E-1,1.576590240E-1,-1.012000442E-1,2.155126069E-1
6.039855240E-1,-5.858949944E-2,1.555284858E-1,-8.096003532E-2,1.848685118E-1
6.064380240E-1,-1.704421826E-2,1.587242782E-1,-6.498108059E-2,1.723555706E-1
6.088991690E-1,1.597895473E-2,1.640505940E-1,-4.913528636E-2,1.719947695E-1
6.113957840E-1,4.474107176E-2,1.747032404E-1,-3.422159329E-2,1.835595357E-1
6.138924510E-1,6.604634225E-2,1.917474568E-1,-2.676474862E-2,2.045618691E-1
6.163890650E-1,8.096003532E-2,2.183790505E-1,-2.356895804E-2,2.340927867E-1
6.188415650E-1,9.480846673E-2,2.514022291E-1,-2.143843099E-2,2.695391112E-1
6.212940650E-1,1.097221524E-1,2.865559161E-1,-2.143843099E-2,3.075920189E-1
6.237457320E-1,1.245026886E-1,3.217096329E-1,-2.463422157E-2,3.458393445E-1
6.262392220E-1,1.394163817E-1,3.579285741E-1,-3.102580272E-2,3.853730557E-1
6.287326590E-1,1.564605981E-1,3.888212144E-1,-4.061317816E-2,4.210834665E-1
6.312261490E-1,1.745700836E-1,4.133222997E-1,-5.326318368E-2,4.518262988E-1
6.337196380E-1,1.937448233E-1,4.356928170E-1,-6.178529188E-2,4.808146313E-1
6.362130760E-1,2.129195631E-1,4.527370334E-1,-7.456845790E-2,5.058320044E-1
6.387030760E-1,2.267680019E-1,4.687159956E-1,-8.735162020E-2,5.279665868E-1
6.411180760E-1,2.384859025E-1,4.793686271E-1,-1.022653133E-1,5.450944878E-1
6.435705760E-1,2.480732650E-1,4.909533858E-1,-1.139832065E-1,5.617541662E-1
6.460605760E-1,2.544648647E-1,5.016059875E-1,-1.257011145E-1,5.763347155E-1
6.485233360E-1,2.608564198E-1,5.101281404E-1,-1.384842694E-1,5.894528686E-1
6.510133880E-1,2.651174963E-1,5.133239031E-1,-1.502021700E-1,5.969500885E-1
6.535033880E-1,2.651174963E-1,5.111933947E-1,-1.587242782E-1,5.973268536E-1
6.559933880E-1,2.629869580E-1,5.048018098E-1,-1.661811322E-1,5.929613613E-1
6.584834400E-1,2.587259114E-1,4.930838943E-1,-1.757684946E-1,5.839224158E-1
6.610334400E-1,2.523343265E-1,4.751075804E-1,-1.800295562E-1,5.672834092E-1
6.635834400E-1,2.427469492E-1,4.527370334E-1,-1.885516644E-1,5.472189990E-1
6.661334400E-1,2.288985252E-1,4.218443930E-1,-1.970737725E-1,5.188307032E-1
6.686280240E-1,2.075932473E-1,3.813643754E-1,-1.970737725E-1,4.768352073E-1
6.711430240E-1,1.884185076E-1,3.430148959E-1,-1.992042959E-1,4.391390489E-1
6.736376070E-1,1.617869139E-1,3.057306707E-1,-2.034653574E-1,4.013033767E-1
6.761321900E-1,1.340900660E-1,2.641853690E-1,-1.992042959E-1,3.570103731E-1
6.786332840E-1,1.043958366E-1,2.247706354E-1,-1.928127259E-1,3.140017142E-1
6.812321900E-1,7.456845790E-2,1.842906028E-1,-1.874863952E-1,2.732665907E-1
6.837821900E-1,5.006739125E-2,1.416800618E-1,-1.778990328E-1,2.328691681E-1
6.863321900E-1,2.769685537E-2,1.033305749E-1,-1.587242782E-1,1.914098221E-1
6.888729190E-1,6.391582079E-3,7.669898123E-2,-1.459411234E-1,1.649921135E-1
6.913740650E-1,-1.065263618E-2,4.793686420E-2,-1.288969070E-1,1.379341663E-1
6.938751590E-1,-3.408843651E-2,2.343579940E-2,-1.150484756E-1,1.222596006E-1
6.963762530E-1,-4.793686420E-2,3.195791040E-3,-1.033305749E-1,1.139533402E-1
6.988287530E-1,-5.965476483E-2,-1.065263618E-2,-9.480846673E-2,1.125202870E-1
7.012812530E-1,-7.350318879E-2,-2.343579940E-2,-8.841688186E-2,1.173435147E-1
7.037337530E-1,-8.309056610E-2,-3.408843651E-2,-7.989477366E-2,1.202049855E-1
7.061862530E-1,-9.267793596E-2,-4.580633715E-2,-7.243792713E-2,1.262326171E-1
7.086387530E-1,-1.033305749E-1,-5.845634267E-2,-6.711161137E-2,1.363756580E-1
7.110912530E-1,-1.150484756E-1,-7.337003201E-2,-5.752423778E-2,1.480822449E-1
7.135923470E-1,-1.331579536E-1,-8.721846342E-2,-4.913528636E-2,1.665904479E-1
7.159962530E-1,-1.470063776E-1,-1.042626798E-1,-4.380896688E-2,1.854745455E-1
7.184487530E-1,-1.672463864E-1,-1.159805804E-1,-4.274370521E-2,2.079660384E-1
7.209012530E-1,-1.906821877E-1,-1.223721579E-1,-4.167843983E-2,2.303730324E-1
7.233537530E-1,-2.119874656E-1,-1.266332120E-1,-4.593949392E-2,2.511674602E-1
7.258062530E-1,-2.269011587E-1,-1.287637353E-1,-5.113265663E-2,2.658548174E-1
7.282587530E-1,-2.407495826E-1,-1.266332120E-1,-5.752423778E-2,2.780384323E-1
7.307514610E-1,-2.503369451E-1,-1.202416345E-1,-6.604634225E-2,2.854623549E-1
7.331939090E-1,-2.641853690E-1,-1.138500497E-1,-7.669898123E-2,2.977221469E-1
7.356866170E-1,-2.684464455E-1,-9.893636405E-2,-8.309056610E-2,2.979193522E-1
7.382366170E-1,-2.695116997E-1,-8.615319431E-2,-8.948214352E-2,2.967591332E-1
7.407293260E-1,-2.641853690E-1,-8.082687855E-2,-8.948214352E-2,2.904030776E-1
7.436364090E-1,-2.567285299E-1,-7.656582445E-2,-8.309056610E-2,2.804922561E-1
7.461291690E-1,-2.375537902E-1,-7.337003201E-2,-7.137266546E-2,2.586677835E-1
7.486218260E-1,-2.173137814E-1,-7.443529367E-2,-5.432844535E-2,2.360454882E-1
7.511145340E-1,-1.917474568E-1,-7.976161689E-2,-3.315633163E-2,2.103053614E-1
7.536072420E-1,-1.619200706E-1,-9.041424841E-2,-8.655266836E-3,1.856549467E-1
7.561000030E-1,-1.257011145E-1,-1.031974182E-1,2.117211558E-2,1.640083406E-1
7.585525030E-1,-9.374319762E-2,-1.095889956E-1,4.567318037E-2,1.512731782E-1
7.610050030E-1,-6.817687303E-2,-1.085237339E-1,7.017423958E-2,1.461160865E-1
7.634575030E-1,-5.432844535E-2,-9.680583328E-2,8.934898674E-2,1.424997922E-1
7.659500550E-1,-5.219791830E-2,-8.402267098E-2,9.361004084E-2,1.361883683E-1
7.683625030E-1,-5.858949944E-2,-7.123950869E-2,9.147951752E-2,1.299088110E-1
7.708150030E-1,-6.711161137E-2,-6.591318548E-2,9.361004084E-2,1.327077848E-1
7.732675030E-1,-7.669898123E-2,-7.230477035E-2,9.147951752E-2,1.395679607E-1
7.757200030E-1,-8.415582776E-2,-9.254477918E-2,8.934898674E-2,1.537204636E-1
