"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.663356542E0,-2.653200924E-1,4.515328705E-1,5.068219304E-1
1.673366542E0,-1.862295903E-2,4.345126152E-1,2.287591696E-1
1.683376542E0,1.806832403E-1,4.711354077E-1,-5.438657477E-2
1.693387542E0,3.156801760E-1,5.340368152E-1,-2.992048562E-1
1.703397542E0,3.982871771E-1,5.991564393E-1,-4.951926470E-1
1.713407542E0,4.249486029E-1,6.999202967E-1,-6.445145011E-1
1.723418542E0,3.897229433E-1,8.294409513E-1,-7.456493974E-1
1.733428542E0,2.868745923E-1,9.696068764E-1,-8.033052683E-1
1.743438542E0,1.420875490E-1,1.170703173E0,-8.339475989E-1
1.753449542E0,-2.507027611E-2,1.413695335E0,-8.470748663E-1
1.763459542E0,-1.866081506E-1,1.668064952E0,-8.570432663E-1
1.773470542E0,-3.188157380E-1,1.967966676E0,-9.567647576E-1
1.783480542E0,-4.444243312E-1,2.247522354E0,-1.034075975E0
1.793490542E0,-5.440046787E-1,2.436202288E0,-1.081456542E0
1.803501542E0,-5.698241591E-1,2.539005280E0,-1.151057839E0
1.813511542E0,-5.448319912E-1,2.575338840E0,-1.223289132E0
1.823521542E0,-4.981897175E-1,2.576759815E0,-1.269629717E0
1.833532542E0,-4.410966337E-1,2.550255060E0,-1.291726232E0
1.843542542E0,-3.728887141E-1,2.511836767E0,-1.298419952E0
1.853552542E0,-2.951001823E-1,2.418106079E0,-1.275102973E0
1.863563542E0,-2.121744752E-1,2.230635405E0,-1.207135439E0
1.873573542E0,-1.276089996E-1,1.973086119E0,-1.117928624E0
1.883583542E0,-4.599486291E-2,1.670275450E0,-1.023006320E0
1.893594542E0,2.667561360E-2,1.353618622E0,-9.454227686E-1
1.903604542E0,7.481980324E-2,1.052157998E0,-8.807167411E-1
1.913614542E0,9.793177992E-2,7.889183164E-1,-8.051258326E-1
1.923625542E0,1.086452603E-1,5.745270848E-1,-7.116518617E-1
1.933635542E0,1.214998066E-1,4.133187532E-1,-6.056529880E-1
1.943645542E0,1.473514438E-1,2.873275280E-1,-4.866939783E-1
1.953656542E0,1.759061217E-1,1.560059935E-1,-3.558733761E-1
1.963666542E0,1.979308873E-1,4.115352407E-2,-2.354555428E-1
1.973677542E0,2.133002579E-1,-1.777237840E-2,-1.537369788E-1
1.983687542E0,2.133078277E-1,-4.859497771E-3,-1.238205656E-1
1.993697542E0,2.065356821E-1,6.825546175E-2,-1.529025435E-1
2.003708542E0,1.997394562E-1,1.887967587E-1,-2.195205241E-1
2.013718542E0,2.051877528E-1,3.271072209E-1,-3.211297095E-1
2.023728542E0,2.154130638E-1,4.304059446E-1,-4.271996319E-1
2.033739542E0,2.397410274E-1,4.885387421E-1,-5.039282441E-1
2.043749542E0,2.676269412E-1,5.011757016E-1,-5.347464085E-1
2.053759542E0,2.861324549E-1,4.480060041E-1,-5.061906576E-1
2.063770208E0,2.948505282E-1,3.470466435E-1,-4.219764769E-1
2.073780208E0,2.938300073E-1,2.219422460E-1,-3.180412948E-1
2.083790208E0,2.717381120E-1,9.981524944E-2,-2.233242393E-1
2.093801208E0,2.260020524E-1,2.355110459E-2,-1.640052795E-1
2.103811208E0,1.622960418E-1,-7.439986803E-4,-1.418462843E-1
2.113821208E0,7.730390877E-2,2.186171152E-2,-1.447232962E-1
2.123832208E0,-2.458100207E-2,7.408445328E-2,-1.447572261E-1
2.133842208E0,-1.255222708E-1,1.167672053E-1,-1.166731268E-1
2.143852208E0,-2.427874506E-1,1.305119991E-1,-4.062900692E-2
2.153863208E0,-3.687552214E-1,1.549214721E-1,4.781936482E-2
2.163873208E0,-4.918409586E-1,1.952181458E-1,1.272373796E-1
2.173883208E0,-6.003363132E-1,2.360196412E-1,1.883545369E-1
2.183894208E0,-6.716811061E-1,2.668539286E-1,2.122100145E-1
2.193904208E0,-7.024603486E-1,2.556665242E-1,2.098368704E-1
2.203915208E0,-7.152175903E-1,2.132134438E-1,1.864657700E-1
2.213925208E0,-7.162354589E-1,1.772024482E-1,1.393576413E-1
2.223935208E0,-7.024487853E-1,1.710436642E-1,7.453705370E-2
2.233946208E0,-6.718720198E-1,1.790573895E-1,2.674576361E-3
2.243956208E0,-5.981639624E-1,1.859523803E-1,-5.965943635E-2
2.253966208E0,-4.772367179E-1,2.065780312E-1,-1.389180422E-1
2.263977208E0,-3.173909485E-1,2.049803883E-1,-2.240210474E-1
2.273987208E0,-1.580691934E-1,1.932257414E-1,-3.077740073E-1
2.283997208E0,-1.945547014E-2,1.749449074E-1,-3.886467516E-1
2.294008208E0,6.715559214E-2,1.091536433E-1,-4.615529180E-1
2.304018208E0,1.074875370E-1,2.782093920E-2,-5.023050904E-1
2.314028208E0,1.235650405E-1,-2.387341484E-2,-5.079424977E-1
2.324039208E0,1.247468293E-1,-6.734243780E-2,-4.888745844E-1
2.334049208E0,1.219694242E-1,-1.368781030E-1,-4.538098276E-1
2.344060208E0,1.137321442E-1,-2.128054351E-1,-4.377096593E-1
2.354070208E0,1.068627983E-1,-2.678364515E-1,-4.460184574E-1
2.364080208E0,1.125415191E-1,-2.839531302E-1,-4.874065518E-1
2.374091208E0,1.332673132E-1,-2.423081994E-1,-5.390021205E-1
