"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.311642292E0,-1.858742535E-1,-1.909134865E0,9.251632094E-1,2.129617838E0
1.321624292E0,-2.155794203E-1,-2.308422089E0,1.123357773E0,2.576280208E0
1.331607292E0,-3.604173064E-1,-2.744326830E0,1.414566755E0,3.108412696E0
1.341589292E0,-5.928083062E-1,-3.119483232E0,1.778582573E0,3.639499044E0
1.351571292E0,-8.601171970E-1,-3.336423874E0,2.173354864E0,4.073695770E0
1.361553292E0,-1.134826779E0,-3.367207050E0,2.544574738E0,4.370443425E0
1.371535292E0,-1.385608196E0,-3.202569962E0,2.874748945E0,4.521122198E0
1.381517292E0,-1.596846461E0,-2.854297400E0,3.170787334E0,4.555307299E0
1.391499292E0,-1.750650406E0,-2.389970303E0,3.446028233E0,4.544430159E0
1.401481292E0,-1.847348690E0,-1.844793558E0,3.674952507E0,4.507908205E0
1.411463292E0,-1.883252144E0,-1.290260553E0,3.831696272E0,4.460191392E0
1.421445292E0,-1.849512339E0,-8.285892606E-1,3.922635555E0,4.415237904E0
1.431427292E0,-1.769577503E0,-4.501948059E-1,3.945486546E0,4.347521591E0
1.441409292E0,-1.634972215E0,-1.655026823E-1,3.906613588E0,4.238178265E0
1.451391292E0,-1.433842540E0,2.746810392E-2,3.775398731E0,4.038600563E0
1.461373292E0,-1.151257992E0,1.552202106E-1,3.539271832E0,3.725041392E0
1.471355292E0,-8.049820662E-1,1.701655984E-1,3.236280203E0,3.339230751E0
1.481337292E0,-4.482390285E-1,1.942367479E-2,2.893698931E0,2.928274066E0
1.491319292E0,-1.065831780E-1,-2.564609051E-1,2.485493898E0,2.500962233E0
1.501301292E0,2.050087750E-1,-6.488995552E-1,2.104572296E0,2.211859801E0
1.511283292E0,5.270467401E-1,-1.172130346E0,1.808271289E0,2.218448302E0
1.521265292E0,7.242634892E-1,-1.748049617E0,1.496583581E0,2.412467094E0
1.531247292E0,8.185756207E-1,-2.185878515E0,1.217524171E0,2.632583529E0
