"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.856816850E-1,8.838324547E-1,-5.525333881E0,7.656807899E-1,5.647720016E0
7.906667370E-1,1.010795593E0,-5.570517540E0,8.666014671E-1,5.727422762E0
7.956517890E-1,1.090385914E0,-5.620062828E0,8.760714531E-1,5.791506611E0
8.006367890E-1,1.113550663E0,-5.659132004E0,7.563786507E-1,5.817033503E0
8.056246530E-1,1.161366463E0,-5.658604145E0,5.751428604E-1,5.805115179E0
8.106097580E-1,1.226842403E0,-5.610945225E0,3.205323219E-1,5.752442053E0
8.155950180E-1,1.255158424E0,-5.591729641E0,1.073708534E-1,5.731875046E0
8.205801740E-1,1.358362198E0,-5.599782944E0,1.657724380E-2,5.762203718E0
8.255470490E-1,1.505205154E0,-5.641735554E0,-5.725097656E-2,5.839357866E0
8.305313200E-1,1.721472740E0,-5.692624092E0,-8.252382278E-2,5.947793509E0
8.355155910E-1,1.981135845E0,-5.778862953E0,1.593017578E-2,6.109043300E0
8.404998620E-1,2.215305328E0,-5.874395370E0,1.797978878E-1,6.280798193E0
8.454933510E-1,2.438687325E0,-5.922179222E0,3.204107285E-1,6.412648879E0
8.504780910E-1,2.706455708E0,-6.006623268E0,5.011920929E-1,6.607239900E0
8.554628300E-1,2.920984745E0,-6.091836452E0,6.597440243E-1,6.788069344E0
8.604475700E-1,3.154094696E0,-6.190094948E0,7.886369228E-1,6.991962315E0
8.654213720E-1,3.403471947E0,-6.294826031E0,8.990588188E-1,7.212264749E0
8.704055390E-1,3.619044781E0,-6.379389763E0,9.770932198E-1,7.399243882E0
8.753897580E-1,3.879463673E0,-6.513560295E0,1.027187109E0,7.650609091E0
8.803739240E-1,4.162942886E0,-6.625890732E0,1.082629681E0,7.899658758E0
8.853706430E-1,4.423844337E0,-6.728343964E0,1.158224106E0,8.135262399E0
8.903554870E-1,4.609673023E0,-6.902536392E0,1.182188272E0,8.384012353E0
8.953402780E-1,4.756334782E0,-7.026530266E0,1.153048038E0,8.562964902E0
9.003250700E-1,4.866353512E0,-7.133928299E0,1.180749655E0,8.715991006E0
9.053084550E-1,5.006523609E0,-7.227064610E0,1.239102840E0,8.878688944E0
9.102931950E-1,5.145617485E0,-7.270147324E0,1.328537464E0,9.005411329E0
9.152779350E-1,5.319356918E0,-7.332324982E0,1.411178112E0,9.167877144E0
9.202627260E-1,5.456101894E0,-7.375480175E0,1.489610434E0,9.294390509E0
9.252422050E-1,5.553482533E0,-7.345201015E0,1.638055563E0,9.352880424E0
9.302267370E-1,5.685661793E0,-7.320122719E0,1.773408294E0,9.436944612E0
9.352112160E-1,5.828837872E0,-7.264451504E0,1.886126161E0,9.502898425E0
9.401956950E-1,5.966444492E0,-7.173589706E0,2.019157887E0,9.546509714E0
9.451816330E-1,6.146233559E0,-7.064519405E0,2.191198111E0,9.616910655E0
9.501661640E-1,6.365555286E0,-6.959025383E0,2.377988577E0,9.726415478E0
9.551506950E-1,6.648072720E0,-6.814332962E0,2.553013325E0,9.856463952E0
9.601352780E-1,6.943338871E0,-6.652361393E0,2.739854336E0,9.998533321E0
9.651172050E-1,7.189080238E0,-6.523646355E0,2.950067520E0,1.014611920E1
9.701016330E-1,7.440189838E0,-6.316318512E0,3.192694426E0,1.026867090E1
9.750860600E-1,7.724721432E0,-6.109911919E0,3.455246449E0,1.043748403E1
9.800704350E-1,8.006464958E0,-5.866599083E0,3.734688997E0,1.060511046E1
9.850526220E-1,8.234960556E0,-5.615518093E0,4.011250973E0,1.074424279E1
9.900369450E-1,8.390964508E0,-5.323652744E0,4.305864334E0,1.083005224E1
9.950212160E-1,8.445806503E0,-4.979526520E0,4.625139713E0,1.084062956E1
1.000005591E0,8.452135086E0,-4.583409786E0,4.904047966E0,1.079332753E1
1.005027310E0,8.441571236E0,-4.227784634E0,5.209805965E0,1.078315195E1
1.010013455E0,8.403015137E0,-3.870793819E0,5.437752724E0,1.073139613E1
1.014999601E0,8.353788376E0,-3.485445976E0,5.631271839E0,1.066045667E1
1.019985799E0,8.315064430E0,-3.076594830E0,5.725493431E0,1.055400432E1
1.025024601E0,8.304407120E0,-2.679041862E0,5.761745453E0,1.045648859E1
1.030013455E0,8.340616226E0,-2.265804291E0,5.758931160E0,1.038580937E1
1.035002258E0,8.357366562E0,-1.898044109E0,5.700715065E0,1.029302189E1
1.039991112E0,8.378152847E0,-1.573134422E0,5.627043724E0,1.021429479E1
1.044896112E0,8.374553680E0,-1.301613331E0,5.531971931E0,1.012077369E1
1.049870487E0,8.347049713E0,-9.880809784E-1,5.388887882E0,9.984470719E0
1.054854653E0,8.310672760E0,-6.242189407E-1,5.240347862E0,9.844702978E0
1.059838820E0,8.250645638E0,-2.675762177E-1,4.988928318E0,9.645421516E0
1.064821008E0,8.173763275E0,1.199026108E-1,4.697440147E0,9.428187877E0
1.069805070E0,8.079943657E0,4.476227760E-1,4.463929653E0,9.241889612E0
1.074789133E0,8.002244949E0,7.420101166E-1,4.245514393E0,9.089053620E0
1.079773247E0,7.892668724E0,1.031790257E0,4.006794453E0,8.911409120E0
