"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.739254542E0,8.144263916E0,-3.526965637E0,1.372495880E0
3.749264542E0,8.200696564E0,-3.587290192E0,1.174757080E0
3.759274542E0,8.113278351E0,-3.697311401E0,9.663903809E-1
3.769285542E0,7.954608307E0,-3.831133118E0,7.692503357E-1
3.779295542E0,7.763455811E0,-3.956721954E0,6.002517700E-1
3.789306542E0,7.576344910E0,-4.075724487E0,4.706213379E-1
3.799316542E0,7.434290314E0,-4.168830872E0,3.583547974E-1
3.809326542E0,7.366181946E0,-4.237837372E0,2.650987244E-1
3.819337542E0,7.416177979E0,-4.277355194E0,2.326162720E-1
3.829347542E0,7.570806427E0,-4.218228149E0,2.303709412E-1
3.839357542E0,7.838749237E0,-4.075425110E0,2.456391907E-1
3.849368542E0,8.206384735E0,-3.908073120E0,3.034190369E-1
3.859378542E0,8.527766418E0,-3.805686035E0,3.580554199E-1
3.869388542E0,8.755742340E0,-3.901935883E0,3.433859253E-1
3.879399542E0,8.866961060E0,-4.120182037E0,3.082090759E-1
3.889409542E0,8.887618103E0,-4.376449127E0,2.993774414E-1
3.899420542E0,8.850644989E0,-4.602928162E0,3.430865479E-1
3.909430542E0,8.847052460E0,-4.797373810E0,3.956272888E-1
3.919440542E0,8.933422852E0,-4.978347473E0,3.968247986E-1
3.929451542E0,9.069040833E0,-5.147944794E0,3.501219177E-1
3.939461542E0,9.201365662E0,-5.215304718E0,3.321592712E-1
3.949471542E0,9.275910645E0,-5.141657867E0,3.869453430E-1
3.959482542E0,9.255702667E0,-4.943769379E0,4.802014160E-1
3.969492542E0,9.344019012E0,-4.786446533E0,5.381309509E-1
3.979503542E0,9.733359375E0,-5.024152222E0,4.805007935E-1
3.989513542E0,1.017853363E1,-5.511239319E0,4.093986511E-1
3.999523542E0,1.042447220E1,-5.639522552E0,4.355941772E-1
4.009534542E0,1.037627243E1,-5.359754333E0,5.605842590E-1
4.019544542E0,1.006297394E1,-4.933590546E0,7.652087402E-1
4.029554542E0,9.624236298E0,-4.494553528E0,9.845027161E-1
4.039565542E0,9.218729553E0,-4.098327484E0,1.120420074E0
4.049575542E0,8.977581024E0,-3.867357788E0,1.139280853E0
4.059585542E0,8.880732422E0,-3.871399384E0,1.011596375E0
4.069596542E0,8.764573975E0,-3.992347870E0,7.851173401E-1
4.079606542E0,8.557853851E0,-3.992796936E0,5.438191223E-1
4.089617542E0,8.245603180E0,-4.014801178E0,2.920426941E-1
4.099627542E0,7.822433167E0,-4.053720245E0,6.212081909E-2
4.109637542E0,7.440577240E0,-3.965553589E0,-4.071533203E-2
